205.210.31.102 - - [31/Jan/2025:00:03:15 +0000] "GET / HTTP/1.0" 200 11210
216.9.226.154 - - [31/Jan/2025:15:37:31 +0000] "POST /cgi-bin/ViewLog.asp HTTP/1.1" 404 704
216.9.226.154 - - [31/Jan/2025:15:37:31 +0000] "POST /cgi-bin/ViewLog.asp HTTP/1.1" 404 704
216.9.226.154 - - [31/Jan/2025:15:37:49 +0000] "POST /cgi-bin/ViewLog.asp HTTP/1.1" 404 704
216.9.226.154 - - [31/Jan/2025:15:37:49 +0000] "POST /cgi-bin/ViewLog.asp HTTP/1.1" 404 704
216.9.226.154 - - [31/Jan/2025:15:37:50 +0000] "POST /cgi-bin/ViewLog.asp HTTP/1.1" 404 704
89.248.174.186 - - [31/Jan/2025:15:58:44 +0000] "CONNECT google.com:443 HTTP/1.1" 501 753
146.19.24.168 - - [31/Jan/2025:16:06:15 +0000] "GET / HTTP/1.1" 200 11230
13.212.125.244 - - [31/Jan/2025:16:22:43 +0000] "-" 400 1894
13.212.125.244 - - [31/Jan/2025:16:22:43 +0000] "GET / HTTP/1.1" 200 11230
13.212.125.244 - - [31/Jan/2025:16:22:43 +0000] "-" 400 1894
13.212.125.244 - - [31/Jan/2025:16:22:43 +0000] "GET / HTTP/1.1" 200 11230
13.212.125.244 - - [31/Jan/2025:16:22:44 +0000] "GET /cgi-bin/.%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/etc/hosts HTTP/1.1" 400 674
13.212.125.244 - - [31/Jan/2025:16:22:44 +0000] "GET /.DS_Store HTTP/1.1" 404 690
13.212.125.244 - - [31/Jan/2025:16:22:44 +0000] "GET /.json HTTP/1.1" 404 686
13.212.125.244 - - [31/Jan/2025:16:22:45 +0000] "GET /login.action HTTP/1.1" 404 693
13.212.125.244 - - [31/Jan/2025:16:22:45 +0000] "GET /config.json HTTP/1.1" 404 692
13.212.125.244 - - [31/Jan/2025:16:22:45 +0000] "GET /.git/config HTTP/1.1" 404 696
13.212.125.244 - - [31/Jan/2025:16:22:46 +0000] "GET /idx_config/ HTTP/1.1" 404 696
13.212.125.244 - - [31/Jan/2025:16:22:46 +0000] "GET /telescope/requests HTTP/1.1" 404 703
13.212.125.244 - - [31/Jan/2025:16:22:46 +0000] "GET /s/lkx/_/;/META-INF/maven/com.atlassian.jira/jira-webapp-dist/pom.properties HTTP/1.1" 404 788
13.212.125.244 - - [31/Jan/2025:16:22:47 +0000] "GET /api/geojson?url=file:///etc/hosts HTTP/1.1" 404 696
13.212.125.244 - - [31/Jan/2025:16:22:47 +0000] "GET /server-status HTTP/1.1" 404 694
13.212.125.244 - - [31/Jan/2025:16:22:47 +0000] "GET /.env HTTP/1.1" 404 685
13.212.125.244 - - [31/Jan/2025:16:22:48 +0000] "GET /info.php HTTP/1.1" 404 689
45.148.10.242 - - [31/Jan/2025:16:45:20 +0000] "GET / HTTP/1.1" 200 11230
13.235.83.176 - - [31/Jan/2025:16:56:31 +0000] "-" 400 1894
13.235.83.176 - - [31/Jan/2025:16:56:31 +0000] "GET / HTTP/1.1" 200 11230
13.235.83.176 - - [31/Jan/2025:16:56:31 +0000] "-" 400 1894
13.235.83.176 - - [31/Jan/2025:16:56:32 +0000] "GET / HTTP/1.1" 200 11230
13.235.83.176 - - [31/Jan/2025:16:56:32 +0000] "GET /cgi-bin/.%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/etc/hosts HTTP/1.1" 400 674
13.235.83.176 - - [31/Jan/2025:16:56:32 +0000] "GET /.DS_Store HTTP/1.1" 404 690
13.235.83.176 - - [31/Jan/2025:16:56:32 +0000] "GET /config.json HTTP/1.1" 404 692
13.235.83.176 - - [31/Jan/2025:16:56:33 +0000] "GET /.git/config HTTP/1.1" 404 696
13.235.83.176 - - [31/Jan/2025:16:56:33 +0000] "GET /.json HTTP/1.1" 404 686
13.235.83.176 - - [31/Jan/2025:16:56:33 +0000] "GET /login.action HTTP/1.1" 404 693
13.235.83.176 - - [31/Jan/2025:16:56:33 +0000] "GET /api/geojson?url=file:///etc/hosts HTTP/1.1" 404 696
13.235.83.176 - - [31/Jan/2025:16:56:34 +0000] "GET /server-status HTTP/1.1" 404 694
13.235.83.176 - - [31/Jan/2025:16:56:34 +0000] "GET /.env HTTP/1.1" 404 685
13.235.83.176 - - [31/Jan/2025:16:56:34 +0000] "GET /idx_config/ HTTP/1.1" 404 696
13.235.83.176 - - [31/Jan/2025:16:56:34 +0000] "GET /telescope/requests HTTP/1.1" 404 703
13.235.83.176 - - [31/Jan/2025:16:56:34 +0000] "GET /info.php HTTP/1.1" 404 689
13.235.83.176 - - [31/Jan/2025:16:56:35 +0000] "GET /s/lkx/_/;/META-INF/maven/com.atlassian.jira/jira-webapp-dist/pom.properties HTTP/1.1" 404 788
13.126.175.58 - - [31/Jan/2025:17:11:06 +0000] "-" 400 1894
13.126.175.58 - - [31/Jan/2025:17:11:06 +0000] "GET / HTTP/1.1" 200 11230
13.126.175.58 - - [31/Jan/2025:17:11:06 +0000] "-" 400 1894
13.126.175.58 - - [31/Jan/2025:17:11:07 +0000] "GET / HTTP/1.1" 200 11230
13.126.175.58 - - [31/Jan/2025:17:11:07 +0000] "GET /cgi-bin/.%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/etc/hosts HTTP/1.1" 400 674
13.126.175.58 - - [31/Jan/2025:17:11:07 +0000] "GET /.DS_Store HTTP/1.1" 404 690
13.126.175.58 - - [31/Jan/2025:17:11:07 +0000] "GET /idx_config/ HTTP/1.1" 404 696
13.126.175.58 - - [31/Jan/2025:17:11:08 +0000] "GET /telescope/requests HTTP/1.1" 404 703
13.126.175.58 - - [31/Jan/2025:17:11:08 +0000] "GET /.env HTTP/1.1" 404 685
13.126.175.58 - - [31/Jan/2025:17:11:08 +0000] "GET /.git/config HTTP/1.1" 404 696
13.126.175.58 - - [31/Jan/2025:17:11:08 +0000] "GET /info.php HTTP/1.1" 404 689
13.126.175.58 - - [31/Jan/2025:17:11:08 +0000] "GET /.json HTTP/1.1" 404 686
13.126.175.58 - - [31/Jan/2025:17:11:09 +0000] "GET /login.action HTTP/1.1" 404 693
13.126.175.58 - - [31/Jan/2025:17:11:09 +0000] "GET /s/lkx/_/;/META-INF/maven/com.atlassian.jira/jira-webapp-dist/pom.properties HTTP/1.1" 404 788
13.126.175.58 - - [31/Jan/2025:17:11:09 +0000] "GET /api/geojson?url=file:///etc/hosts HTTP/1.1" 404 696
13.126.175.58 - - [31/Jan/2025:17:11:09 +0000] "GET /server-status HTTP/1.1" 404 694
13.126.175.58 - - [31/Jan/2025:17:11:10 +0000] "GET /config.json HTTP/1.1" 404 692
190.124.155.160 - - [31/Jan/2025:17:31:46 +0000] "GET / HTTP/1.0" 200 11210
13.210.178.99 - - [31/Jan/2025:17:32:00 +0000] "-" 400 1894
13.210.178.99 - - [31/Jan/2025:17:32:01 +0000] "GET / HTTP/1.1" 200 11230
13.210.178.99 - - [31/Jan/2025:17:32:01 +0000] "-" 400 1894
13.210.178.99 - - [31/Jan/2025:17:32:01 +0000] "GET / HTTP/1.1" 200 11230
13.210.178.99 - - [31/Jan/2025:17:32:02 +0000] "GET /cgi-bin/.%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/etc/hosts HTTP/1.1" 400 674
13.210.178.99 - - [31/Jan/2025:17:32:02 +0000] "GET /.DS_Store HTTP/1.1" 404 690
13.210.178.99 - - [31/Jan/2025:17:32:03 +0000] "GET /login.action HTTP/1.1" 404 693
13.210.178.99 - - [31/Jan/2025:17:32:03 +0000] "GET /.git/config HTTP/1.1" 404 696
13.210.178.99 - - [31/Jan/2025:17:32:04 +0000] "GET /idx_config/ HTTP/1.1" 404 696
13.210.178.99 - - [31/Jan/2025:17:32:04 +0000] "GET /.json HTTP/1.1" 404 686
13.210.178.99 - - [31/Jan/2025:17:32:05 +0000] "GET /info.php HTTP/1.1" 404 689
13.210.178.99 - - [31/Jan/2025:17:32:05 +0000] "GET /s/lkx/_/;/META-INF/maven/com.atlassian.jira/jira-webapp-dist/pom.properties HTTP/1.1" 404 788
13.210.178.99 - - [31/Jan/2025:17:32:06 +0000] "GET /api/geojson?url=file:///etc/hosts HTTP/1.1" 404 696
13.210.178.99 - - [31/Jan/2025:17:32:06 +0000] "GET /server-status HTTP/1.1" 404 694
13.210.178.99 - - [31/Jan/2025:17:32:07 +0000] "GET /config.json HTTP/1.1" 404 692
13.210.178.99 - - [31/Jan/2025:17:32:07 +0000] "GET /.env HTTP/1.1" 404 685
13.210.178.99 - - [31/Jan/2025:17:32:08 +0000] "GET /telescope/requests HTTP/1.1" 404 703
13.211.53.233 - - [31/Jan/2025:17:36:08 +0000] "-" 400 1894
13.211.53.233 - - [31/Jan/2025:17:36:08 +0000] "GET / HTTP/1.1" 200 11230
13.211.53.233 - - [31/Jan/2025:17:36:08 +0000] "-" 400 1894
13.211.53.233 - - [31/Jan/2025:17:36:09 +0000] "GET / HTTP/1.1" 200 11230
13.211.53.233 - - [31/Jan/2025:17:36:09 +0000] "GET /cgi-bin/.%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/etc/hosts HTTP/1.1" 400 674
13.211.53.233 - - [31/Jan/2025:17:36:10 +0000] "GET /.DS_Store HTTP/1.1" 404 690
13.211.53.233 - - [31/Jan/2025:17:36:11 +0000] "GET /.env HTTP/1.1" 404 685
13.211.53.233 - - [31/Jan/2025:17:36:11 +0000] "GET /idx_config/ HTTP/1.1" 404 696
13.211.53.233 - - [31/Jan/2025:17:36:12 +0000] "GET /telescope/requests HTTP/1.1" 404 703
13.211.53.233 - - [31/Jan/2025:17:36:12 +0000] "GET /.json HTTP/1.1" 404 686
13.211.53.233 - - [31/Jan/2025:17:36:13 +0000] "GET /s/lkx/_/;/META-INF/maven/com.atlassian.jira/jira-webapp-dist/pom.properties HTTP/1.1" 404 788
13.211.53.233 - - [31/Jan/2025:17:36:13 +0000] "GET /api/geojson?url=file:///etc/hosts HTTP/1.1" 404 696
13.211.53.233 - - [31/Jan/2025:17:36:14 +0000] "GET /server-status HTTP/1.1" 404 694
13.211.53.233 - - [31/Jan/2025:17:36:14 +0000] "GET /.git/config HTTP/1.1" 404 696
13.211.53.233 - - [31/Jan/2025:17:36:15 +0000] "GET /info.php HTTP/1.1" 404 689
13.211.53.233 - - [31/Jan/2025:17:36:16 +0000] "GET /login.action HTTP/1.1" 404 693
13.211.53.233 - - [31/Jan/2025:17:36:16 +0000] "GET /config.json HTTP/1.1" 404 692
79.135.38.55 - - [31/Jan/2025:17:45:55 +0000] "GET / HTTP/1.0" 200 11210
34.228.192.72 - - [31/Jan/2025:17:57:42 +0000] "-" 400 1894
34.228.192.72 - - [31/Jan/2025:17:57:42 +0000] "GET / HTTP/1.1" 200 11230
34.228.192.72 - - [31/Jan/2025:17:57:42 +0000] "-" 400 1894
34.228.192.72 - - [31/Jan/2025:17:57:42 +0000] "GET / HTTP/1.1" 200 11230
34.228.192.72 - - [31/Jan/2025:17:57:42 +0000] "GET /cgi-bin/.%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/etc/hosts HTTP/1.1" 400 674
34.228.192.72 - - [31/Jan/2025:17:57:42 +0000] "GET /.DS_Store HTTP/1.1" 404 690
34.228.192.72 - - [31/Jan/2025:17:57:43 +0000] "GET /telescope/requests HTTP/1.1" 404 703
34.228.192.72 - - [31/Jan/2025:17:57:43 +0000] "GET /.json HTTP/1.1" 404 686
34.228.192.72 - - [31/Jan/2025:17:57:43 +0000] "GET /login.action HTTP/1.1" 404 693
34.228.192.72 - - [31/Jan/2025:17:57:43 +0000] "GET /s/lkx/_/;/META-INF/maven/com.atlassian.jira/jira-webapp-dist/pom.properties HTTP/1.1" 404 788
34.228.192.72 - - [31/Jan/2025:17:57:43 +0000] "GET /api/geojson?url=file:///etc/hosts HTTP/1.1" 404 696
34.228.192.72 - - [31/Jan/2025:17:57:43 +0000] "GET /config.json HTTP/1.1" 404 692
34.228.192.72 - - [31/Jan/2025:17:57:44 +0000] "GET /idx_config/ HTTP/1.1" 404 696
34.228.192.72 - - [31/Jan/2025:17:57:44 +0000] "GET /.git/config HTTP/1.1" 404 696
34.228.192.72 - - [31/Jan/2025:17:57:44 +0000] "GET /info.php HTTP/1.1" 404 689
34.228.192.72 - - [31/Jan/2025:17:57:44 +0000] "GET /server-status HTTP/1.1" 404 694
34.228.192.72 - - [31/Jan/2025:17:57:44 +0000] "GET /.env HTTP/1.1" 404 685
95.214.55.185 - - [31/Jan/2025:18:01:24 +0000] "GET / HTTP/1.1" 200 11230
146.19.24.168 - - [31/Jan/2025:18:05:59 +0000] "GET / HTTP/1.1" 200 11230
45.148.10.242 - - [31/Jan/2025:18:29:33 +0000] "GET / HTTP/1.1" 200 11230
146.19.24.168 - - [31/Jan/2025:19:00:33 +0000] "GET / HTTP/1.1" 200 11230
98.80.4.82 - - [31/Jan/2025:19:08:49 +0000] "GET / HTTP/1.1" 200 11230
95.214.55.185 - - [31/Jan/2025:19:09:39 +0000] "GET / HTTP/1.1" 200 11230
216.9.226.148 - - [31/Jan/2025:19:16:46 +0000] "POST /cgi-bin/ViewLog.asp HTTP/1.1" 404 704
216.9.226.148 - - [31/Jan/2025:19:17:04 +0000] "POST /cgi-bin/ViewLog.asp HTTP/1.1" 404 704
216.9.226.148 - - [31/Jan/2025:19:17:44 +0000] "POST /cgi-bin/ViewLog.asp HTTP/1.1" 404 704
216.9.226.148 - - [31/Jan/2025:19:17:44 +0000] "POST /cgi-bin/ViewLog.asp HTTP/1.1" 404 704
185.233.117.25 - - [31/Jan/2025:19:17:55 +0000] "POST /cgi-bin/ViewLog.asp HTTP/1.1" 404 704
95.214.55.185 - - [31/Jan/2025:20:00:23 +0000] "GET / HTTP/1.1" 200 11230
109.236.61.84 - - [31/Jan/2025:20:07:03 +0000] "-" 400 1894
185.7.214.177 - - [31/Jan/2025:20:17:41 +0000] "-" 400 1894
146.19.24.168 - - [31/Jan/2025:20:42:27 +0000] "GET / HTTP/1.1" 200 11230
172.212.59.135 - - [31/Jan/2025:21:18:36 +0000] "GET / HTTP/1.1" 200 11230
147.185.132.52 - - [31/Jan/2025:21:20:34 +0000] "GET / HTTP/1.1" 200 11230
78.108.177.51 - - [31/Jan/2025:21:31:20 +0000] "GET / HTTP/1.0" 200 11210
216.9.226.148 - - [31/Jan/2025:22:11:24 +0000] "POST /cgi-bin/ViewLog.asp HTTP/1.1" 404 704
146.19.24.168 - - [31/Jan/2025:22:24:24 +0000] "GET / HTTP/1.1" 200 11230
176.132.244.235 - - [31/Jan/2025:22:32:09 +0000] "GET /guacamole/api/patches HTTP/1.1" 200 340
176.132.244.235 - - [31/Jan/2025:22:32:09 +0000] "POST /guacamole/api/tokens HTTP/1.1" 403 257
176.132.244.235 - - [31/Jan/2025:22:32:09 +0000] "GET /guacamole/api/languages HTTP/1.1" 200 244
176.132.244.235 - - [31/Jan/2025:22:32:10 +0000] "GET /guacamole/translations/en.json HTTP/1.1" 200 48945
176.132.244.235 - - [31/Jan/2025:22:32:10 +0000] "GET /guacamole/translations/fr.json HTTP/1.1" 200 49975
216.9.226.154 - - [31/Jan/2025:22:47:08 +0000] "POST /cgi-bin/ViewLog.asp HTTP/1.1" 404 704
205.210.31.71 - - [31/Jan/2025:23:10:32 +0000] "GET / HTTP/1.0" 200 11210
194.85.251.9 - - [31/Jan/2025:23:24:43 +0000] "GET /script HTTP/1.1" 404 687
205.210.31.177 - - [31/Jan/2025:23:25:39 +0000] "-" 400 1894
205.210.31.177 - - [31/Jan/2025:23:25:39 +0000] "-" 400 1894
209.38.72.87 - - [31/Jan/2025:23:52:00 +0000] "CONNECT google.com:443 HTTP/1.1" 501 753
200.81.185.179 - - [31/Jan/2025:23:55:08 +0000] "POST /cgi-bin/ViewLog.asp HTTP/1.1" 404 704
